episo;/GPSummary/author/UKCT_MT160018UK01.AgentPerson;/ichicsr/safetyreport/primarysource;complex-9
.;/GPSummary/author/UKCT_MT160018UK01.AgentPerson/agentPerson/name/prefix;/ichicsr/safetyreport/primarysource/reportertitle;.
.;/GPSummary/author/UKCT_MT160018UK01.AgentPerson/agentPerson/name/given|/GPSummary/author/UKCT_MT160018UK01.AgentPerson/agentPerson/name;/ichicsr/safetyreport/primarysource/reportergivename;.
.;/GPSummary/author/UKCT_MT160018UK01.AgentPerson/agentPerson/name/family;/ichicsr/safetyreport/primarysource/reporterfamilyname;.
.;/GPSummary/author/UKCT_MT160018UK01.AgentPerson/agentPerson/representedOrganization/name;/ichicsr/safetyreport/primarysource/reporterorganization;.
.;/GPSummary/author/UKCT_MT160018UK01.AgentPerson/agentPerson/representedOrganization/addr/streetAddressLine;/ichicsr/safetyreport/primarysource/reporterstreet;.
.;/GPSummary/author/UKCT_MT160018UK01.AgentPerson/agentPerson/representedOrganization/addr/city;/ichicsr/safetyreport/primarysource/reportercity;.
.;/GPSummary/author/UKCT_MT160018UK01.AgentPerson/agentPerson/representedOrganization/addr/county;/ichicsr/safetyreport/primarysource/reporterstate;.
.;/GPSummary/author/UKCT_MT160018UK01.AgentPerson/agentPerson/representedOrganization/addr/postalCode;/ichicsr/safetyreport/primarysource/reporterpostcode;.
.;/GPSummary/author/UKCT_MT160018UK01.AgentPerson/agentPerson/representedOrganization/addr/country/code/@displayName;/ichicsr/safetyreport/primarysource/reportercountry;.
episo;/GPSummary/author/UKCT_MT160018UK01.AgentPersonSDS;/ichicsr/safetyreport/primarysource;complex-3
.;/GPSummary/author/UKCT_MT160018UK01.AgentPersonSDS/agentPersonSDS/name/prefix;/ichicsr/safetyreport/primarysource/reportertitle;.
.;/GPSummary/author/UKCT_MT160018UK01.AgentPersonSDS/agentPersonSDS/name/given|/GPSummary/author/UKCT_MT160018UK01.AgentPersonSDS/agentPersonSDS/name;/ichicsr/safetyreport/primarysource/reportergivename;.
.;/GPSummary/author/UKCT_MT160018UK01.AgentPerson/agentPerson/name/family;/ichicsr/safetyreport/primarysource/reporterfamilyname;.
episo;//pertinentInformation2/pertinentCREType[code[@code="163001000000103"]]/component/UKCT_MT144042UK01.Diagnosis;/ichicsr/safetyreport/patient/medicalhistoryepisode;complex-4
.;//pertinentInformation2/pertinentCREType[code[@code="163001000000103"]]/component/UKCT_MT144042UK01.Diagnosis/code;/ichicsr/safetyreport/patient/medicalhistoryepisode/patientepisodename;.
.;//pertinentInformation2/pertinentCREType[code[@code="163001000000103"]]/component/UKCT_MT144042UK01.Diagnosis/effectiveTime/low/@value|//pertinentInformation2/pertinentCREType[code[@code="163001000000103"]]/component/UKCT_MT144042UK01.Diagnosis/effectiveTime/@value;/ichicsr/safetyreport/patient/medicalhistoryepisode/patientmedicalstartdate;.
.;//pertinentInformation2/pertinentCREType[code[@code="163001000000103"]]/component/UKCT_MT144042UK01.Diagnosis/effectiveTime/high/@value|//pertinentInformation2/pertinentCREType[code[@code="163001000000103"]]/component/UKCT_MT144042UK01.Diagnosis/effectiveTime/low/@value|//pertinentInformation2/pertinentCREType[code[@code="163001000000103"]]/component/UKCT_MT144042UK01.Diagnosis/effectiveTime/@value;/ichicsr/safetyreport/patient/medicalhistoryepisode/patientmedicalenddate;.
.;//pertinentInformation2/pertinentCREType[code[@code="163001000000103"]]/component/UKCT_MT144042UK01.Diagnosis//pertinentSupportingInfo/value;/ichicsr/safetyreport/patient/medicalhistoryepisode/patientmedicalcomment;.
episo;//pertinentInformation2/pertinentCREType[code[@code="185361000000102"]]/component/UKCT_MT144040UK01.AcuteMedication;/ichicsr/safetyreport/patient/patientpastdrugtherapy;complex-3
